ego_id,alter_id,freq.rec,week.daily,alter.sex,alter.cores,role,role.rec,intgen
1,101,yearly,No,Male,No,child,imm.fam,Yes
1,102,yearly,No,Male,No,child,imm.fam,Yes
1,103,yearly,No,Male,No,child,imm.fam,Yes
1,104,yearly,No,Male,No,child,imm.fam,Yes
1,105,yearly,No,Male,No,child,imm.fam,Yes
1,106,weekly,Yes,Female,No,child,imm.fam,Yes
1,107,daily,Yes,Female,No,oth.fam,ext.fam,No
2,201,daily,Yes,Female,Yes,spouse,imm.fam,No
2,202,daily,Yes,Male,Yes,child,imm.fam,Yes
2,203,weekly,Yes,Male,No,child,imm.fam,Yes
2,204,weekly,Yes,Female,No,child.in.law,imm.fam,Yes
2,205,weekly,Yes,Female,No,oth.fam,ext.fam,Yes
2,206,weekly,Yes,Female,No,oth.fam,ext.fam,Yes
2,207,yearly,No,Male,No,sibling,imm.fam,No
2,208,yearly,No,Male,No,sibling,imm.fam,No
2,209,yearly,No,Female,No,sibling,imm.fam,No
2,210,daily,Yes,Male,No,rel.vol,rel.vol,No
2,211,daily,Yes,Male,No,rel.vol,rel.vol,No
2,212,daily,Yes,Male,No,rel.vol,rel.vol,No
2,213,daily,Yes,Male,No,rel.vol,rel.vol,No
2,214,daily,Yes,Male,No,rel.vol,rel.vol,No
3,301,daily,Yes,Female,Yes,spouse,imm.fam,No
3,302,weekly,Yes,Male,No,child,imm.fam,Yes
3,303,yearly,No,Male,No,child,imm.fam,Yes
3,304,weekly,Yes,Female,No,child.in.law,imm.fam,Yes
3,305,yearly,No,Female,No,child.in.law,imm.fam,Yes
3,306,weekly,Yes,Female,No,sib.in.law,ext.fam,No
3,307,weekly,Yes,Male,No,oth.fam,ext.fam,Yes
3,308,weekly,Yes,Male,No,work,work,No
3,309,weekly,Yes,Male,No,rel.vol,rel.vol,No
3,310,weekly,Yes,Female,No,rel.vol,rel.vol,No
3,311,daily,Yes,Male,No,friend,friend,No
3,312,daily,Yes,Male,No,friend,friend,No
3,313,daily,Yes,Male,No,friend,friend,No
3,314,daily,Yes,Male,No,friend,friend,No
4,401,daily,Yes,Male,Yes,spouse,imm.fam,No
4,402,weekly,Yes,Male,No,child,imm.fam,Yes
4,403,yearly,No,Male,No,child,imm.fam,Yes
4,404,weekly,Yes,Female,No,child.in.law,imm.fam,Yes
4,405,yearly,No,Female,No,child.in.law,imm.fam,Yes
4,406,weekly,Yes,Female,No,sibling,imm.fam,No
4,407,weekly,Yes,Male,No,oth.fam,ext.fam,Yes
4,408,yearly,No,Female,No,friend,friend,No
4,409,yearly,No,Female,No,friend,friend,No
4,410,yearly,No,Female,No,friend,friend,No
4,411,yearly,No,Female,No,friend,friend,No
4,412,yearly,No,Female,No,friend,friend,No
5,501,daily,Yes,Female,Yes,spouse,imm.fam,No
5,502,weekly,Yes,Male,No,child,imm.fam,Yes
5,503,weekly,Yes,Female,No,child.in.law,imm.fam,Yes
5,504,daily,Yes,Female,No,oth.fam,ext.fam,Yes
5,505,weekly,Yes,Female,No,oth.fam,ext.fam,Yes
5,506,weekly,Yes,Female,No,oth.fam,ext.fam,Yes
5,507,daily,Yes,Male,No,neighbor,neighbor,No
5,508,weekly,Yes,Female,No,neighbor,neighbor,No
5,509,daily,Yes,Male,No,neighbor,neighbor,No
5,510,daily,Yes,Female,No,neighbor,neighbor,No
5,511,weekly,Yes,Male,No,friend,friend,No
5,512,weekly,Yes,Female,No,friend,friend,No
5,513,weekly,Yes,Male,No,friend,friend,No
6,601,daily,Yes,Male,Yes,spouse,imm.fam,No
6,602,weekly,Yes,Male,No,child,imm.fam,Yes
6,603,weekly,Yes,Female,No,child.in.law,imm.fam,Yes
6,604,daily,Yes,Female,No,oth.fam,ext.fam,Yes
6,605,weekly,Yes,Female,No,oth.fam,ext.fam,Yes
6,606,weekly,Yes,Female,No,oth.fam,ext.fam,Yes
6,607,daily,Yes,Male,No,neighbor,neighbor,No
6,608,weekly,Yes,Female,No,neighbor,neighbor,No
6,609,daily,Yes,Male,No,neighbor,neighbor,No
6,610,daily,Yes,Female,No,neighbor,neighbor,No
6,611,weekly,Yes,Male,No,friend,friend,No
6,612,weekly,Yes,Female,No,friend,friend,No
6,613,weekly,Yes,Male,No,friend,friend,No
7,701,daily,Yes,Female,Yes,spouse,imm.fam,No
7,702,weekly,Yes,Female,No,child,imm.fam,Yes
7,703,weekly,Yes,Female,No,child,imm.fam,Yes
7,704,weekly,Yes,Female,No,child,imm.fam,Yes
7,705,weekly,Yes,Female,No,child,imm.fam,Yes
7,706,monthly,No,Male,No,child.in.law,imm.fam,Yes
7,707,weekly,Yes,Male,No,child.in.law,imm.fam,Yes
7,708,monthly,No,Male,No,child.in.law,imm.fam,Yes
7,709,monthly,No,Male,No,child.in.law,imm.fam,Yes
7,710,monthly,No,Female,No,oth.fam,ext.fam,Yes
7,711,monthly,No,Male,No,oth.fam,ext.fam,Yes
7,712,daily,Yes,Male,No,neighbor,neighbor,No
7,713,weekly,Yes,Male,No,neighbor,neighbor,No
7,714,weekly,Yes,Female,No,neighbor,neighbor,No
7,715,weekly,Yes,Male,No,work,work,No
7,716,weekly,Yes,Male,No,work,work,No
7,717,weekly,Yes,Male,No,work,work,No
7,718,yearly,No,Male,No,work,work,No
7,719,weekly,Yes,Female,No,rel.vol,rel.vol,No
7,720,weekly,Yes,Male,No,rel.vol,rel.vol,No
7,721,weekly,Yes,Female,No,friend,friend,No
7,722,weekly,Yes,Female,No,friend,friend,No
7,723,yearly,No,Male,No,friend,friend,No
7,724,yearly,No,Female,No,friend,friend,No
7,725,yearly,No,Female,No,friend,friend,No
8,801,daily,Yes,Male,Yes,spouse,imm.fam,No
8,802,weekly,Yes,Female,No,child,imm.fam,Yes
8,803,weekly,Yes,Female,No,child,imm.fam,Yes
8,804,weekly,Yes,Female,No,child,imm.fam,Yes
8,805,weekly,Yes,Female,No,child,imm.fam,Yes
8,806,monthly,No,Male,No,child.in.law,imm.fam,Yes
8,807,weekly,Yes,Male,No,child.in.law,imm.fam,Yes
8,808,monthly,No,Male,No,child.in.law,imm.fam,Yes
8,809,monthly,No,Male,No,child.in.law,imm.fam,Yes
8,810,monthly,No,Female,No,oth.fam,ext.fam,Yes
8,811,monthly,No,Male,No,oth.fam,ext.fam,Yes
8,812,daily,Yes,Male,No,neighbor,neighbor,No
8,813,weekly,Yes,Male,No,neighbor,neighbor,No
8,814,weekly,Yes,Female,No,neighbor,neighbor,No
8,815,weekly,Yes,Male,No,friend,friend,No
8,816,weekly,Yes,Male,No,friend,friend,No
8,817,weekly,Yes,Male,No,friend,friend,No
8,818,weekly,Yes,Female,No,friend,friend,No
8,819,weekly,Yes,Female,No,friend,friend,No
8,820,monthly,No,Male,No,friend,friend,No
8,821,yearly,No,Female,No,friend,friend,No
8,822,yearly,No,Male,No,friend,friend,No
8,823,yearly,No,Female,No,friend,friend,No
9,901,daily,Yes,Female,Yes,spouse,imm.fam,No
9,902,weekly,Yes,Female,No,child,imm.fam,Yes
9,903,weekly,Yes,Male,No,child,imm.fam,Yes
9,904,weekly,Yes,Male,No,child.in.law,imm.fam,Yes
9,905,weekly,Yes,Male,No,sibling,imm.fam,No
9,906,weekly,Yes,Female,No,sibling,imm.fam,No
9,907,weekly,Yes,Male,No,friend,friend,No
9,908,weekly,Yes,Male,No,friend,friend,No
9,909,weekly,Yes,Male,No,rel.vol,rel.vol,No
9,910,weekly,Yes,Male,No,rel.vol,rel.vol,No
10,1001,weekly,Yes,Male,No,child,imm.fam,Yes
10,1002,weekly,Yes,Male,No,child,imm.fam,Yes
10,1003,weekly,Yes,Female,No,child,imm.fam,Yes
10,1004,weekly,Yes,Male,No,sib.in.law,ext.fam,No
